ID,Nombre Planta,Empresa Propietaria,Sector Industrial,Región,Comuna,Oportunidad SUPCON,Justificación Técnica,Subestación de Conexión
11,Complejo Metanol Cabo Negro,Methanex Chile S.A.,Química y Petroquímica,Magallanes,Punta Arenas,DCS de Procesos + SIS (SIL3) + PPC,Planta de metanol a gran escala. Reformadores de gas natural a vapor y destilación continua. DCS de alta disponibilidad y SIS con triple redundancia modular.,S/E Cabo Negro (Cogeneración Privada)
12,Complejo Químico Prillex América,Enaex S.A.,Química y Petroquímica,Antofagasta,Mejillones,DCS de Procesos + SIS (SIL3),Síntesis de amoníaco y nitrato de amonio grado explosivo. Reacciones químicas altamente exotérmicas que exigen control de procesos ultra-rápido y parada de emergencia segura (SIS).,S/E Prillex (Conexión 110kV)
13,Planta Talcahuano,Dow Química Chile S.A.,Química y Petroquímica,Biobío,Talcahuano,DCS + SIS,Producción de resinas de poliestireno y plásticos petroquímicos. Control de reactores de polimerización batch y sistemas de gases.,Conexión industrial Talcahuano
14,Terminal Quintero,Oxiquim S.A.,Química y Petroquímica,Valparaíso,Quintero,SIS (Fuego y Gas) + SCADA,Almacenamiento y despacho de productos químicos y gases licuados. Requiere sistema contra incendios certificado SIL y detección de fugas (Fuego & Gas).,S/E Privada Terminal Quintero
15,Complejo Coya Sur,Sociedad Química y Minera de Chile (SQM),Química y Petroquímica,Antofagasta,María Elena,DCS de Procesos + SCADA,"Producción de nitrato de potasio para exportación. Reactores de cristalización, lavado y secado mecánico de sales a escala gigante.",S/E Coya Sur (SQM)
16,Fábrica La Calera,Melón S.A.,Cemento y Cal,Valparaíso,La Calera,DCS de Procesos,"Hornos de clínker a temperaturas de 1.450°C. Regulación del flujo de aire, combustible (carbón/petcoke) y velocidad del horno rotatorio. Molienda en circuito cerrado.",S/E Melón La Calera (110kV)
17,Complejo Cerro Blanco,Polpaico S.A.,Cemento y Cal,Metropolitana,Til Til,DCS de Procesos + SCADA,Hornos rotatorios de clínker y molienda de cemento. Control multivariable de la combustión para optimización energética y reducción de emisiones.,S/E Polpaico Cerro Blanco (110kV)
18,Planta Talcahuano Cbb,Cementos Bío Bío S.A. (Cbb),Cemento y Cal,Biobío,Talcahuano,DCS + SCADA,Planta de molienda y dosificación de aditivos para cementos y hormigones. Control de alimentadores de balanza y silos.,Conexión dedicada puerto Talcahuano
19,Planta Antofagasta Cal,Cementos Bío Bío S.A. (Cbb),Cemento y Cal,Antofagasta,Antofagasta,DCS de Procesos,Hornos verticales de calcinación de cal para la minería del cobre. Control de temperatura y tiro de aire crítico.,S/E Industrial La Negra
20,Siderúrgica Huachipato,Compañía Siderúrgica Huachipato S.A. (CAP),Siderúrgica y Metalurgia,Biobío,Talcahuano,DCS + SIS + SCADA,"Control de Alto Horno, acería de oxígeno (conversores LD) y laminación. Procesos con metales líquidos a alta temperatura que exigen SIS para paradas seguras de gas de alto horno.",S/E Huachipato (CAP)
21,Planta Colina,Gerdau AZA S.A.,Siderúrgica y Metalurgia,Metropolitana,Colina,DCS + SCADA HMI,"Horno de arco eléctrico para fusión de acero reciclado. Regulación automática de potencia de electrodos, control de soplado de oxígeno y captación de polvo.",S/E AZA Colina (220kV)
22,Complejo Forestal Horcones,Celulosa Arauco y Constitución S.A.,Forestal y Madera,Biobío,Arauco,DCS de Procesos + SIS + PPC,"Modernización de celulosa (Proyecto MAPA). Control de digestores, evaporadores, caldera de recuperación (licor negro) y turbogeneración eléctrica de 300 MW (cogenedora). Target de DCS integrado y SIS redundante.",S/E Planta Arauco (Arauco)
23,Complejo Nueva Aldea,Celulosa Arauco y Constitución S.A.,Forestal y Madera,Ñuble,Ránquil,DCS de Procesos + SIS,Planta de celulosa kraft (500k toneladas/año) y aserradero de alta tecnología. Control continuo de procesos químicos e instrumentación crítica.,S/E Nueva Aldea (Arauco)
24,Planta Celulosa Constitución,Celulosa Arauco y Constitución S.A.,Forestal y Madera,Maule,Constitución,DCS de Procesos,Planta de celulosa kraft cruda. Digestores batch antiguos que requieren migración a un DCS moderno para optimizar el consumo de vapor.,S/E Planta Constitución (Arauco)
25,Planta Celulosa Laja,CMPC Pulp SpA,Forestal y Madera,Biobío,Laja,DCS de Procesos + SIS,"Complejo histórico de celulosa kraft y papel. Caustificación, hornos de cal, blanqueamiento e integración con calderas de cogeneración.",S/E Laja (CMPC)
26,Planta Celulosa Santa Fe,CMPC Pulp SpA,Forestal y Madera,Biobío,Nacimiento,DCS de Procesos + SIS,Producción de celulosa de fibra corta de eucalipto. Control de digestores continuos y caldera de recuperación de gran escala.,S/E Santa Fe (CMPC)
27,Planta Tableros Cabrero,Masisa S.A.,Forestal y Madera,Biobío,Cabrero,DCS de Procesos + SCADA,"Producción de tableros de madera aglomerada (MDF/MDP). Control térmico de secadores de virutas, dosificación de resinas químicas y control de presión en prensas continuas.",Conexión dedicada en Media Tensión
28,Concentradora Laguna Seca y Los Colorados,Minera Escondida Ltda. (BHP),Minería y Procesamiento Mineral,Antofagasta,Antofagasta,DCS de Gran Escala + SIS + SCADA,"El mayor complejo de cobre del mundo. Requiere control de molienda SAG de alta potencia, celdas de flotación de gran volumen y espesadores. DCS legacy de Honeywell y ABB.",S/E Escondida (220kV)
29,Concentradora y Fundición Chuquicamata,Codelco Chile,Minería y Procesamiento Mineral,Antofagasta,Calama,DCS de Procesos + SIS,Complejo minero histórico. Posee concentradora masiva y fundición de cobre que requiere sistemas instrumentados de seguridad (SIS) en hornos flash y convertidores Teniente para gases de azufre.,S/E Chuquicamata (220kV)
30,Concentradora Colón (El Teniente),Codelco Chile,Minería y Procesamiento Mineral,O'Higgins,Machalí,DCS de Procesos + SCADA,"La mina subterránea más grande del mundo. Su concentradora Colón procesa más de 130k ton/día. Control de molienda, flotación y espesamiento. DCS Yokogawa/Honeywell legacy.",S/E Colón (El Teniente)
31,Concentradora Ujina,Compañía Doña Inés de Collahuasi SCM,Minería y Procesamiento Mineral,Tarapacá,Pica,DCS de Gran Escala + SCADA,Complejo de alta montaña. Control del circuito de molienda y flotación de cobre-molibdeno. Sistemas de control Honeywell / ABB legacy.,S/E Ujina (220kV)
32,Concentradora El Chacay,Minera Los Pelambres (AMSA),Minería y Procesamiento Mineral,Coquimbo,Salamanca,DCS de Procesos + SCADA,Concentradora principal de AMSA. Molienda SAG de gran envergadura y control del sistema de transporte de concentrado por gravedad (mineroducto). DCS Emerson DeltaV.,S/E Los Pelambres (220kV)
33,Concentradora y Impulsión Quebrada Blanca,Teck Resources Chile,Minería y Procesamiento Mineral,Tarapacá,Pica,DCS de Procesos + SCADA Desaladora,"Nueva concentradora (QB2). Incluye captación de agua marina, impulsión de agua desalada (5 estaciones de bombeo de alta presión - control de transientes) y concentradora en alta cordillera.",S/E Quebrada Blanca (220kV)
34,Planta Química Carmen de la Negra,Sociedad Química y Minera de Chile (SQM),Minería y Procesamiento Mineral,Antofagasta,Antofagasta,DCS de Procesos (Batch) + SCADA,"Producción de carbonato e hidróxido de litio de alta pureza (grado batería). Control de cristalización, lixiviación, secado y envasado. DCS Honeywell / Rockwell.",S/E La Negra
35,Fundición Altonorte,Glencore Chile,Minería y Procesamiento Mineral,Antofagasta,Antofagasta,SIS + DCS de Procesos,"Fundición de concentrado de cobre a gran escala. Control de quemadores de horno, soplado de aire con O2 y planta de ácido sulfúrico para gases residuales (crítico bajo DS 28 y DS 43).",S/E Altonorte
36,Concentradora Candelaria,Lundin Mining Chile,Minería y Procesamiento Mineral,Atacama,Tierra Amarilla,DCS + SCADA,Planta concentradora de cobre-oro y puerto de embarque. Control de molienda y flotación. DCS ABB System 800xA.,S/E Candelaria (220kV)
